id,term
0,Asset Finance Articles
1,Bad Credit Car Loan Videos
2,Bad Credit Car Loans Articles
3,Broker Specialist
4,Business Finance
5,Business Finance Videos
6,Car Loans
7,Construction Loans Articles
8,Equipment Finance
9,Equipment Finance Videos
10,Expat Foreign Owner Loans
11,Expat Foreign Owner Loans Videos
12,General
13,Home Loans Articles and Videos
14,95 Home Loans
15,Bad Credit Home Loan
16,Fixed Home Loan Articles
17,Insurance
18,Inventory Finance
19,Investment and Advice | Category
20,Invoice Finance
21,Low Doc Construction Loans Articles
22,Owner Builder Home Loan
23,Owner Builder Loans Video
24,Personal Finance
25,Personal Loans
26,Self Managed Super Fund Loans
27,Trade Finance
28,Trade Finance Videos
29,Video
